uai,nom_etablissement,nombre de lettre,_3eme_total,longitude,latitude,taux_de_reussite_g
0801616X,Collège Guy Mareschal,21,84,2.327364180638817,49.8706672638455,85.0
0800029X,Collège Jean Rostand,20,158,2.336124610540266,50.15607697220997,87.0
0800036E,Collège Victor Hugo,19,158,3.0783694797933276,49.752911910562936,77.0
0594295Y,Collège du Westhoek,19,38,2.3948734187132454,51.02609343403172,92.0
0594402P,Collège André Canivez,21,144,3.0743805506245514,50.38556769775681,87.0
0594409X,Collège Jean Zay,16,60,3.5518399557173934,50.42078147044804,87.0
0594309N,Collège Pierre de Ronsard,25,104,3.901209519412997,50.253684615272356,95.0
0594418G,Collège Charles de Gaulle,25,78,4.090250109750892,50.3030779347669,88.0
0595172B,Collège Eugène Thomas,21,232,3.645209621701694,50.24844416685529,88.0
0590271Z,Collège Verlaine,16,100,3.070130015934418,50.61075822667113,83.0
0593660H,Collège René Descartes,22,79,3.006710500148804,50.60889499400215,81.0
0597115N,Ecole européenne Lille Métropole Jacques Delors - niveau collège et lycée,73,0,3.0867629963039365,50.66219072832191,75.0
0590151U,Collège Ernest Coutelle,23,69,3.971009768841562,50.27794947812394,79.0
0593254S,Collège Jules Verne,19,79,3.9636805802247674,50.290125601829985,81.0
0590157A,Collège Saint-Exupéry,21,116,3.582870374959155,50.38314537455736,95.0
0596529B,Collège intercommunal Maurice Schumann,38,106,3.2054296343625706,50.375061829305764,77.0
0594303G,Collège Jehan Froissart,23,100,3.657790588229318,50.40095515303546,73.0
0594644C,Collège Lavoisier,17,79,3.55778945950352,50.364495736345354,90.0
0594293W,Collège Albert Roussel,22,127,3.168440278617063,50.723100630457324,84.0
0594524X,Collège Jean Moulin,19,58,3.045949585843362,50.59193523772984,62.0
0594392D,Collège Pablo Néruda,20,62,3.2378495967709715,50.70934262131982,92.0
0595169Y,Collège Emile Zola,18,87,3.2319219812883335,50.70736174269672,75.0
0622946R,Collège Joliot Curie,20,102,2.7882000779325455,50.51788963605935,79.0
0620055Y,Collège Paul Langevin,21,96,1.6185600819517356,50.733725140619015,88.0
0622428C,Collège Edmond Rostand,22,133,2.5555504164428298,50.487227461465054,86.0
0623314R,Collège Simone Signoret,23,122,2.547420203520672,50.48260659356755,95.0
0623919Y,Collège Léonard de Vinci,24,107,2.9759097447360388,50.4968304789591,77.0
0622239X,Collège Jean de Saint-Aubert,28,81,3.0163594766506727,50.48105884244267,82.0
0620119T,Collège Pierre et Marie Curie,29,172,2.7557494341030004,50.43556699322092,86.0
0622423X,Collège Youri Gagarine,22,92,2.9319693624659204,50.4310641266138,90.0
0622269E,Collège Anatole France,22,166,2.6625203622757074,50.47179839596067,77.0
0622578R,Collège Jean Rostand,20,66,2.6823894284960037,50.444295459961204,90.0
0620180J,Collège Léon Blum,17,124,2.8643399654717037,50.49557185372062,85.0
0770033T,Collège les Capucins,20,92,2.6627875409880235,48.550080305154566,84.0
0771339M,Collège Pierre Brossolette,26,145,2.674553155197504,48.54493518460296,75.0
0772481D,Collège Marie Curie,19,69,3.296807129148378,48.548154991367724,88.0
0932272P,Collège Rosa Luxembourg,23,193,2.3756175710181275,48.91516932561166,79.0
0930891N,Collège Victor Hugo,19,162,2.4949343604846885,48.95966122156272,90.0
0931379U,Collège Pablo Neruda,20,173,2.5188994447044384,48.95051721003936,79.0
0930616P,Collège Romain Rolland,22,165,2.548589480395309,48.90426323126266,92.0
0931221X,Collège Louise Michel,21,176,2.5341241196344164,48.90714224608955,69.0
0931202B,Collège Liberté,15,142,2.450522398367945,48.91372511088723,88.0
0931188L,Collège Raymond Poincaré,24,173,2.391703841222832,48.929472614370944,63.0
0931219V,Collège Jean-Jacques Rousseau,29,171,2.4005725759641154,48.883505211122696,78.0
0931546A,Collège Jean Jaurès,19,192,2.5604107693443665,48.89785832936402,74.0
0931707A,Collège Pablo Picasso,21,169,2.5780725817817616,48.89959545083097,82.0
0931209J,Collège Georges Politzer,24,95,2.473696940728375,48.86218508338225,86.0
0931213N,Collège Colonel Fabien,22,137,2.4533846258154264,48.875301630454516,83.0
0931218U,Collège Jean Lolive,19,123,2.4017546727489063,48.90084996908324,70.0
0931223Z,Collège Gustave Courbet,23,196,2.362944286139678,48.94917843236779,93.0
0931381W,Collège Gustave Courbet,23,173,2.441411379667264,48.87871506233707,79.0
0931231H,Collège Pierre de Geyter,24,133,2.3523546266562696,48.93283839694313,86.0
0931144N,Collège Jules Michelet,22,100,2.345992181917522,48.90421506495199,66.0
0932261C,Collège Joséphine Baker,23,133,2.337342996675949,48.906273716715745,71.0
0931190N,Collège Evariste Galois,23,157,2.5199673191027494,48.94547123341275,72.0
0931226C,Collège Pablo Neruda,20,178,2.3886743234195436,48.96370244417755,89.0
0941299B,Collège Paul Vaillant-Couturier,31,193,2.540472333783582,48.813289883659344,81.0
0940581W,Collège Jean Moulin,19,111,2.354999677462201,48.774311108658466,91.0
0941040V,Collège Emile Zola,18,112,2.4057841110469402,48.768199454529935,88.0
0941024C,Collège Jules Ferry,19,50,2.434551245936811,48.79246922741321,85.0
0941042X,Collège Dorval,14,100,2.3970845455341996,48.743915400557626,87.0
0940792A,Collège Jules Ferry,19,125,2.450007650514465,48.73208699336739,76.0
0941411Y,Collège les Prunais,19,165,2.5495448859272365,48.832004176382355,83.0
0752536Z,Collège Voltaire,16,112,2.384525602087465,48.86352601850053,91.0
0752252R,Collège Hector Berlioz,22,202,2.332815469011771,48.89581471106791,93.0
0755433Y,Collège Aimé Césaire,20,107,2.361979663421302,48.88757577390621,79.0
0752695X,Collège Guillaume Budé,22,125,2.3962863020082996,48.876834043208895,82.0
0752198G,Collège Pierre Mendès-France,28,115,2.4111599096639362,48.86805779207705,88.0
0753939Z,Collège Jean Perrin,19,92,2.411192497090158,48.85685306092131,75.0
0911402E,Collège de Guinette,19,175,2.1459514411163925,48.43646603760289,82.0
0911036G,Collège Jean Vilar,18,148,2.377886647688734,48.650900338036756,81.0
0912196T,Collège Sonia Delaunay,22,145,2.38437852101383,48.65344008008271,70.0
0911152H,Collège Jean Moulin,19,205,2.248434854545303,48.580393325882895,80.0
0911255V,Collège Albert Camus,20,148,2.252485582024741,48.58012827715857,64.0
0910776Z,Collège Paul Eluard,19,196,2.4183887198333407,48.70324809450867,77.0
0911146B,Collège Henri Wallon,20,186,2.436258518561435,48.68951802067975,76.0
0910056S,Collège Olivier de Serres,25,93,2.3682947133964083,48.65601845352454,60.0
0921545E,Collège André Malraux,21,159,2.276999947399213,48.92650988510041,72.0
0921621M,Collège Guy Môquet,18,184,2.2879715131576686,48.934277159055895,72.0
0920594W,Collège République,18,113,2.2058684840970253,48.90266920221561,65.0
0921940J,Collège Paul Eluard,19,82,2.2228763890998566,48.89365165961424,78.0
0951138W,Collège Jean-Jacques Rousseau,29,122,2.225034327264089,48.936611594468815,75.0
0951139X,Collège Albert Camus,20,125,2.2137291402351877,48.9412080164294,90.0
0950887Y,Collège Gabriel Péri,20,164,2.2043023803188175,48.93096212124135,86.0
0950888Z,Collège Henri Wallon,20,175,2.215217020041409,48.93198915460544,71.0
0950022H,Collège Bel Air,15,108,2.2234491656713344,48.99350924453712,86.0
0951403J,Collège La Bruyère,18,132,2.045904928129974,49.05897624594165,95.0
0950039B,Collège Le Parc,15,146,2.110612950522732,49.04077077189662,89.0
0951195H,Collège Marcel Pagnol,21,163,2.115240822356974,49.034156074185695,86.0
0950722U,Collège Jean Moulin,19,139,2.24227464617648,48.9786084453819,67.0
0950900M,Collège Anatole France,22,94,2.387060632393486,48.98068018704452,85.0
0780856G,Collège L'Agiot,15,118,1.9551752883200186,48.765969469302945,84.0
0781896M,Collège Louis Pasteur,21,75,1.6917666190699951,48.99435707581561,78.0
0780420H,Collège Blaise Pascal,21,134,1.9492702670522102,48.82476505570136,88.0
0780264N,Collège Les Grands Champs,25,87,2.0265803546876593,48.91943566283153,83.0
0781101Y,Collège Le Corbusier,20,112,2.0272209979601326,48.92341683080588,79.0
0780514K,Collège Le Village,18,120,1.9946602827025648,48.7814003797688,80.0
0761696F,Collège Romain Rolland,22,103,0.1585252300352849,49.51054640178768,85.0
9740037X,Collège Gaston Crochet,22,123,55.62768091608149,-21.137412854368446,85.0
9740085Z,Collège de Trois Bassins,24,95,55.29652293008688,-21.10363300877319,94.0
9740083X,Collège Amiral Pierre Bouvet,28,144,55.71872706153563,-21.04490310971959,68.0
9741366S,Collège Guy Môquet,18,175,55.711358220557344,-21.053232645145542,74.0
9740572D,Collège Les Deux Canons,23,278,55.47650996498801,-20.89166339918883,90.0
9740645H,Collège Robert J. ARDON - Montgaillard,38,258,55.46870789253393,-20.900626115234704,76.0
9740734E,Collège François Mahé de la Bourdonnais,39,138,55.49644953313609,-20.88777310526711,100.0
9740091F,Collège Leconte de Lisle,24,182,55.41464365979838,-21.274360180227163,87.0
9740093H,Collège Jules Solesse,21,228,55.28107881106315,-20.997222620047513,90.0
9720708M,Collège Jenny Alpha  (Ex Dillon 2),34,96,-61.04298971619976,14.608342157568362,78.0
9720031B,Collège du Vauclin,18,91,-60.8377396567457,14.544374146057097,90.0
9760379H,Collège de Boueni,17,169,45.09097634591245,-12.923897407828887,86.0
9760166B,Collège Ylang-Ylang de Kani-Kéli,32,137,45.1100960158229,-12.953235561488599,85.0
9760244L,Collège de Koungou,18,476,45.20250756941683,-12.735051266324204,96.0
9760308F,Collège de Passamaïnty,22,457,45.20577099537141,-12.798448897785606,97.0
9760314M,Collège de Kawéni 2,19,331,45.22434257523247,-12.766644670501751,78.0
0141136J,Collège Pierre Varignon,23,59,-0.33301993990372764,49.19663021261219,89.0
0501205N,Collège les Provinces,21,84,-1.6298799572344473,49.62796998464379,93.0
0500083U,Collège le Dinandier,20,84,-1.2171494143847557,48.84097589041527,83.0
0610057F,Collège Jean Monnet,19,120,-0.5700803651327394,48.74029575145305,83.0
0271104D,Collège Henri Dunant,20,107,1.1743405373788414,49.029706084232835,97.0
0271320N,Collège Rosa Parks,18,148,1.4435802528746382,49.24831614355137,83.0
0271289E,Collège Cervantès,17,131,1.4955204950162229,49.075089805433215,79.0
0760026R,Collège Claude Delvincourt,26,97,1.0683605599484782,49.90711525621756,97.0
0761697G,Collège Claude Bernard,22,89,0.10521875005897947,49.517913230961,90.0
0760100W,Collège Boieldieu,17,54,1.1314851846279557,49.458717608408655,79.0
0761647C,Collège Paul Eluard,19,104,1.1010069913550966,49.39178218993487,75.0
0761777U,Collège Louise Michel,21,100,1.0852871688663643,49.39342787625407,85.0
0760173A,Collège Jean Zay,16,100,1.088140250087253,49.40110460938722,73.0
0240004Z,Collège Henri IV,16,157,0.488863214866513,44.851949926666784,78.0
0240119Z,Collège Eugène Le Roy,21,123,0.46965241109631145,44.839059144812694,88.0
0240055E,Collège Dronne-Double,21,41,0.1338215970726345,45.199525118279,72.0
0332190B,Collège Alfred Mauguin,22,131,-0.5967387196056518,44.772249000783766,78.0
0330146E,Collège Gisèle Halimi,21,114,-0.6510234523453694,44.84199629660682,87.0
0400010U,Collège Jules Ferry,19,26,0.006284300005722992,43.98525987110205,92.0
0470102F,Collège Paul Froment,20,81,0.5989167291248232,44.40264934580909,63.0
0470049Y,Collège Anatole France,22,131,0.7186121281736652,44.40728897267791,84.0
0870771R,Collège Bernart de Ventadour,28,184,1.272164068477409,45.81395310431876,91.0
0160113L,Collège Michelle Pallet,23,48,0.12847421626497582,45.650002306961134,85.0
0160024P,Collège Elisabeth et Robert Badinter,36,164,0.09397016567471343,45.60371248337845,76.0
0160793A,Collège Jean Michaud,20,38,0.5835977291706322,45.8877839230066,69.0
0171117X,Collège Fabre d'Eglantine,25,141,-1.1165800235315764,46.15199517898842,83.0
0110666P,Collège le Bastion,18,136,2.3489003077811836,43.216445674713256,73.0
0110021N,Collège Victor Hugo,19,209,3.0061500163371266,43.18780519341794,91.0
0110026U,Collège Jules Ferry,19,188,3.000819794519885,43.178945456593006,88.0
0110788X,Collège Montesquieu,19,129,3.0187296795732736,43.193408455633985,88.0
0300006U,Collège Florian,15,100,3.9838104563348335,44.05327546497126,88.0
0301327E,Collège Gérard Philipe,22,150,4.616229962459126,44.16182839770934,95.0
0300059B,Collège Jules Verne,19,117,4.342960542049971,43.829639151131474,85.0
0300946R,Collège Révolution,18,133,4.355359648642355,43.84112772205835,81.0
0301010K,Collège Ada Lovelace,20,100,4.391109100659875,43.85884609257492,79.0
